C.D.S.  -  SIMBAD4 rel 1.8  -  2022.07.08CEST16:43:04

Distance.distance <   16 & Distance.unit = 'pc' & maintype != 'cor' & nbref   > 10
----------------------------------------------------------------------------------

Number of objects : 1568

 #  |            identifier             |typ|      coord1 (Gal,J2000/2000)      |#bib|#dist| distance Q unit|  err-        err+     | method |     reference     
1148|GJ 3403                            |PM*|264.9000546414799 -23.7142579603726|  32|    1|   13.172   pc  |  -0.0081     +0.0081  |ST-L    |2020AJ....160...83S
1149|V* TY Pic                          |RS*|262.6544231921715 -27.9414867467925|  40|    1|  364.737   pc  |  -3.0997     +3.0997  |paral   |2020yCat.1350....0G
1150|GJ 167                             |PM*|262.3295082469985 -44.3762961675446|  79|    1|   13.044   pc  |  -0.0024     +0.0024  |paral   |2020yCat.1350....0G
1151|GJ 146                             |PM*|258.0950794591222 -51.9597391331812|  83|    1|   13.6018  pc  |  -0.0030     +0.0030  |paral   |2020yCat.1350....0G
1152|LEHPM 3396                         |LM*|260.4056683318551 -51.5810246878500|  25|    1|    8.8802  pc  |  -0.0043     +0.0043  |paral   |2020yCat.1350....0G
1153|LP 993-116                         |** |256.3411995 -61.7177049            |  31|    1|    7       pc  |                       |ST-L    |2006AJ....132..866R
1154|LP 993-115                         |Er*|256.3629264617124 -61.7246676891787|  25|    1|   11.0893  pc  |  -0.0030     +0.0030  |paral   |2020yCat.1350....0G
1155|GJ 358                             |** |268.4628117565002 +08.6357748965866| 103|    1|    9.6065  pc  |  -0.0016     +0.0016  |paral   |2020yCat.1350....0G
1156|GJ 238                             |PM*|267.8375527466576 -25.1231576334337|  53|    1|   15.2156  pc  |  -0.0029     +0.0029  |paral   |2020yCat.1350....0G
1157|GJ 2036 B                          |Er*|264.2701422249898 -38.5520037478865|  57|    1|   11.093   pc  |  -0.0026     +0.0026  |paral   |2020yCat.1350....0G
1158|GJ 1075                            |Er*|266.1289958246238 -36.6696016488097|  41|    1|   11.693   pc  |  -0.0071     +0.0071  |ST-L    |2020AJ....160...83S
1159|CD-56 1032                         |** |264.27179071 -38.55026135          |  22|    1|   11.11    pc  |  -0.24       +0.24    |ST-L    |2010MNRAS.403.1949K
1160|GJ 189                             |PM*|266.0336558319076 -36.7158270638167| 227|    1|   11.693   pc  |  -0.0103     +0.0103  |paral   |2020yCat.1350....0G
1161|GJ 163                             |PM*|262.7818203073697 -45.3236560652753|  83|    1|   15.1353  pc  |  -0.0039     +0.0039  |paral   |2020yCat.1350....0G
1162|GJ 1068                            |PM*|263.0243640164206 -45.0884819406790|  39|    1|    7.1075  pc  |  -0.0010     +0.0010  |paral   |2020yCat.1350....0G
1163|L 228-92                           |PM*|263.8966589544493 -49.8965271173840|  16|    1|   12.253   pc  |  -0.0030     +0.0030  |paral   |2020yCat.1350....0G
1164|DENIS J025503.3-470049             |BD*|260.5894808493139 -58.6727507981152| 129|    1|    4.8679  pc  |  -0.0044     +0.0044  |paral   |2020yCat.1350....0G
1165|GJ 103                             |BY*|258.4807872761389 -63.4143572732946| 259|    1|   11.546   pc  |  -0.0047     +0.0047  |paral   |2020yCat.1350....0G
1166|GJ 370                             |PM*|271.6759095336000 +08.1598842399628| 177|    1|   11.2773  pc  |  -0.0022     +0.0022  |paral   |2020yCat.1350....0G
1167|GJ 367                             |PM*|272.2431023274370 +05.6621048149136|  78|    1|    9.4186  pc  |  -0.0012     +0.0012  |paral   |2020yCat.1350....0G
1168|EUVE J0625-60.0                    |PM*|269.3078282977826 -26.3882952738525|  33|    1|   13.437   pc  |  -0.0033     +0.0033  |paral   |2020yCat.1350....0G
1169|GJ 2046                            |PM*|268.8142630453551 -30.3404087773950| 228|    1|   12.932   pc  |  -0.0028     +0.0028  |paral   |2020yCat.1350....0G
1170|GJ 375                             |Er*|274.5560891257363 +06.7035168856688|  87|    1|   15.4513  pc  |  -0.0048     +0.0048  |paral   |2020yCat.1350....0G
1171|L 186-67                           |LM*|272.5375158727413 -11.4485146868174|  30|    1|   12.8813  pc  |  -0.0061     +0.0061  |paral   |2020yCat.1350....0G
1172|SCR J0702-6102                     |PM*|271.4554279471646 -22.1831182103851|  15|    1|   17.5365  pc  |  -0.0604     +0.0604  |paral   |2020yCat.1350....0G
1173|WT 178                             |PM*|271.0208392774120 -32.3337903085659|  13|    1|   17.1182  pc  |  -0.0042     +0.0042  |paral   |2020yCat.1350....0G
1174|2MASS J03480772-6022270            |BD*|273.55779660 -45.39181817          |  26|    1|    7.8     pc  |                       |ST-L    |2012ApJ...753..156K
1175|GJ 9103 A                          |PM*|270.8810459358412 -55.9617407094806|  51|    1|   13.2064  pc  |  -0.0026     +0.0026  |paral   |2020yCat.1350....0G
1176|UCAC4 216-002052                   |LM*|269.1787223258660 -64.4757760093046|  12|    1|   13       pc  |                       |ST-L    |2006AJ....132..866R
1177|V* AB Dor B                        |** |275.2978851789704 -33.0465473441707|  88|    1|   14.927   pc  |  -0.0180     +0.0180  |paral   |2020yCat.1350....0G
1178|V* AB Dor                          |TT*|275.3008097455461 -33.0455887998727| 976|    1|   14.852   pc  |  -0.0974     +0.0974  |paral   |2020yCat.1350....0G
1179|L 225-57                           |PM*|273.6546294037286 -57.7871610947480|  26|    1|   19.9659  pc  |  -0.3023     +0.3023  |paral   |2018yCat.1345....0G
1180|GJ 86                              |PM*|275.9263593838336 -61.9609693024687| 432|    1|   10.7614  pc  |  -0.0053     +0.0053  |paral   |2020yCat.1350....0G
1181|GJ 86 B                            |WD*|275.9258431362566 -61.9604534909122|  39|    1|   10.7973  pc  |  -0.0183     +0.0183  |paral   |2020yCat.1350....0G
1182|L 294-112                          |PM*|277.3046856459204 -65.8629032308715|  19|    1|   13.3851  pc  |  -0.0049     +0.0049  |paral   |2020yCat.1350....0G
1183|GJ 1132                            |PM*|277.2594065819066 +07.7602095079181|  93|    1|   12.6071  pc  |  -0.0028     +0.0028  |paral   |2020yCat.1350....0G
1184|GJ 341                             |PM*|279.5874814187367 -07.3043274717408|  68|    1|   10.4495  pc  |  -0.0015     +0.0015  |paral   |2020yCat.1350....0G
1185|GJ 293                             |WD*|280.2034639155872 -19.4321142807879|  95|    1|    8.1690  pc  |  -0.0007     +0.0007  |paral   |2020yCat.1350....0G
1186|GJ 138                             |** |278.9698102780944 -47.2170461887502| 346|    1|   12.0394  pc  |  -0.0088     +0.0088  |paral   |2020yCat.1350....0G
1187|GJ 136                             |PM*|279.0961935830915 -47.2141042298922| 284|    1|   12.0447  pc  |  -0.0063     +0.0063  |paral   |2020yCat.1350....0G
1188|APMPM J0237-5928                   |PM*|281.0118283073543 -52.9559180185545|  23|    1|   10.0479  pc  |  -0.0032     +0.0032  |paral   |2020yCat.1350....0G
1189|L 294-92                           |PM*|279.7363260501877 -65.9145617977774|  13|    1|   15.6036  pc  |  -0.0471     +0.0471  |paral   |2020yCat.1350....0G
1190|GJ 3545                            |PM*|280.4475580913317 -08.9977389767589|  20|    1|   19.2606  pc  |  -0.0076     +0.0076  |paral   |2020yCat.1350....0G
1191|SCR J0821-6703                     |WD*|280.8463600267550 -16.6859347219368|  16|    1|   10.6755  pc  |  -0.0022     +0.0022  |paral   |2020yCat.1350....0G
1192|L 98-59                            |PM*|281.8155025019020 -17.5929298584497|  50|    1|   10.620   pc  |  -0.0039     +0.0039  |ST-L    |2020AJ....160...83S
1193|AL 442                             |** |282.8748067136689 -28.7718854808145|  23|    1|   56.859   pc  |  -1.1650     +1.1650  |ST-L    |2020AJ....160...83S
1194|GJ 118                             |PM*|283.2180578560863 -48.5599689589093|  58|    1|   11.741   pc  |  -0.0073     +0.0073  |ST-L    |2020AJ....160...83S
1195|RX J0222.7-6022                    |Er*|284.2178596395168 -53.3049375962919|  32|    1|   28.154   pc  |  -0.0157     +0.0157  |paral   |2020yCat.1350....0G
1196|GJ 55                              |PM*|290.0735432871577 -70.9990759937772| 244|    1|   15.2609  pc  |  -0.0163     +0.0163  |paral   |2020yCat.1350....0G
1197|L 140-289                          |PM*|283.7328827504132 -08.0328561036150|  16|    1|   10.4738  pc  |  -0.0023     +0.0023  |paral   |2020yCat.1350....0G
1198|GJ 231                             |PM*|285.7582138557369 -28.8016522938873| 260|    1|   10.213   pc  |  -0.0060     +0.0060  |paral   |2020yCat.1350....0G
1199|L 32-9                             |Er*|286.7625737451281 -27.3081069214769|  48|    1|    8.8393  pc  |  -0.0013     +0.0013  |paral   |2020yCat.1350....0G
1200|L 32-8                             |Er*|286.7571515246676 -27.3042409746087|  37|    1|    8.8392  pc  |  -0.0013     +0.0013  |paral   |2020yCat.1350....0G
1201|GJ 127.1                           |WD*|286.1960134150788 -43.7325002761211| 249|    1|   10.397   pc  |  -0.0031     +0.0031  |paral   |2020yCat.1350....0G
1202|GJ 3141                            |Er*|288.5893182681580 -51.6188358794075|  32|    1|   14.821   pc  |  -0.0138     +0.0138  |ST-L    |2020AJ....160...83S
1203|GJ 66 A                            |PM*|289.5951089697879 -59.6621461905295| 120|    1|    8.1964  pc  |  -0.0021     +0.0021  |paral   |2020yCat.1350....0G
1204|GJ 66 B                            |PM*|289.5917639677327 -59.6648433272494| 143|    1|    8.189   pc  |  -0.0024     +0.0024  |paral   |2020yCat.1350....0G
1205|GJ 1128                            |PM*|287.2648327005512 -11.9697321460731|  49|    1|    6.5036  pc  |  -0.0010     +0.0010  |paral   |2020yCat.1350....0G
1206|GJ 3492                            |PM*|288.9657805132423 -21.5760699321266|  27|    1|   15.583   pc  |  -0.0137     +0.0137  |ST-L    |2020AJ....160...83S
1207|L 34-26                            |LM*|288.9152000093529 -23.1224249990137|  31|    1|   10.886   pc  |  -0.0097     +0.0097  |ST-L    |2020AJ....160...83S
1208|SCR J0630-7643                     |** |287.98032416 -27.52884659          |  19|    1|    6.9     pc  |                       |ST-L    |2007AJ....133.2825R
1209|GJ 1077                            |PM*|290.3662316640874 -31.2547541390960|  36|    1|   15.9131  pc  |  -0.0045     +0.0045  |paral   |2020yCat.1350....0G
1210|GJ 85                              |PM*|291.5928024235607 -48.8524440481671|  38|    1|   12.3034  pc  |  -0.0023     +0.0023  |paral   |2020yCat.1350....0G
1211|GJ 3618                            |PM*|288.2333312999732 -02.0185228541173|  56|    1|    4.8316  pc  |  -0.0010     +0.0010  |paral   |2020yCat.1350....0G
1212|GJ 3112                            |WD*|295.3831544773472 -49.0569412585324|  47|    1|    9.7174  pc  |  -0.0010     +0.0010  |paral   |2020yCat.1350....0G
1213|GJ 3059                            |PM*|303.9190145151006 -66.9787150463735|  36|    1|   23.093   pc  |  -0.0272     +0.0272  |ST-L    |2020AJ....160...83S
1214|GJ 1021                            |EB*|305.6742626329451 -69.5460233223735| 106|    1|   15.049   pc  |  -0.0101     +0.0101  |paral   |2020yCat.1350....0G
1215|GJ 422                             |PM*|290.3792195725127 +02.9795444431215|  58|    1|   12.6755  pc  |  -0.0051     +0.0051  |paral   |2020yCat.1350....0G
1216|[K2001c] 27                        |TT*|294.12663 -16.50778                |  17|    1|   14       pc  |                       |ST-L    |2006AJ....132..866R
1217|GJ 1123                            |PM*|292.5557579085105 -19.5294757914898|  45|    1|    9.5207  pc  |  -0.0024     +0.0024  |paral   |2020yCat.1350....0G
1218|RX J0817.7-8243                    |** |295.5093973510759 -24.2618613807191|  27|    1|   26.5383  pc  |  -0.5131     +0.5131  |paral   |2018yCat.1345....0G
1219|GJ 54                              |** |300.1323634062046 -49.5801677342491|  83|    1|    8.2339  pc  |  -0.0809     +0.0809  |paral   |2018yCat.1345....0G
1220|DENIS J004135.3-562112             |LM*|305.7214703575868 -60.7213045461662|  33|    1|   36.743   pc  |  -0.9550     +0.9550  |paral   |2020yCat.1350....0G
1221|L 291-115                          |PM*|311.6354615660960 -69.2647011098981|  13|    1|   14.6058  pc  |  -0.0061     +0.0061  |paral   |2020yCat.1350....0G
1222|GJ 438                             |PM*|292.3579825686152 +09.6274427310065|  48|    1|   11.0213  pc  |  -0.0021     +0.0021  |paral   |2020yCat.1350....0G
1223|GJ 428 A                           |PM*|292.8224813320832 -00.4906915451841|  75|    1|   12.1175  pc  |  -0.2220     +0.2220  |paral   |2018yCat.1345....0G
1224|GJ 428 B                           |PM*|292.8210368021262 -00.4920648694713|  20|    1|   11.6805  pc  |  -0.0029     +0.0029  |paral   |2020yCat.1350....0G
1225|GJ 3625                            |PM*|297.2575323909629 -17.9814913065197|  21|    1|   14.3227  pc  |  -0.0034     +0.0034  |paral   |2020yCat.1350....0G
1226|1RXS J115928.5-524717              |LM*|295.0114459541189 +09.2819089981966|  25|    1|    9.4602  pc  |  -0.0082     +0.0082  |paral   |2020yCat.1350....0G
1227|GJ 440                             |WD*|296.0168683555186 -02.8558391933530| 246|    1|    4.6366  pc  |  -0.0003     +0.0003  |paral   |2020yCat.1350....0G
1228|* 12 Mus                           |RS*|295.53152864 -03.56494014          | 159|    1|  109.594   pc  |  -9.0813     +9.0813  |paral   |2018yCat.1345....0G
1229|SCR J1138-7721                     |PM*|298.8547863916398 -15.0745854784917|  15|    1|    8.3792  pc  |  -0.0021     +0.0021  |paral   |2020yCat.1350....0G
1230|GJ 19                              |PM*|304.77199568 -39.78209146          | 576|    1|    7.4783  pc  |  -0.0152     +0.0152  |paral   |2020yCat.1350....0G
1231|HD 224953                          |** |309.73586752 -48.19108765          |  27|    1|   15.33    pc  |  -0.41       +0.41    |ST-L    |2010MNRAS.403.1949K
1232|GJ 3                               |PM*|309.4970891780035 -48.7032627563683|  81|    1|   16.377   pc  |  -0.0144     +0.0144  |ST-L    |2020AJ....160...83S
1233|GJ 17                              |PM*|308.3220028069466 -51.9239431696556| 362|    1|    8.6071  pc  |  -0.0098     +0.0098  |paral   |2020yCat.1350....0G
1234|SCR J0017-6645                     |Er*|308.1492468330832 -50.0285286495590|  34|    1|   36.752   pc  |  -0.0714     +0.0714  |ST-L    |2020AJ....160...83S
1235|GJ 3009                            |PM*|314.3382022858791 -59.0644779029713|  23|    1|   12.797   pc  |  -0.0076     +0.0076  |ST-L    |2020AJ....160...83S
1236|L 2-77                             |LM*|306.5002933150242 -30.0477213034215|  21|    1|   15.5541  pc  |  -0.0050     +0.0050  |paral   |2020yCat.1350....0G
1237|HD 223889                          |PM*|307.6199008012310 -40.9670807390263|  41|    1|   10.1164  pc  |  -0.0017     +0.0017  |paral   |2020yCat.1350....0G
1238|GJ 902                             |PM*|310.1686011545108 -43.3826926935323| 149|    1|   11.4453  pc  |  -0.0024     +0.0024  |paral   |2020yCat.1350....0G
1239|L 85-31                            |Er*|309.6220481279474 -45.4223644739816|  24|    1|   12.325   pc  |  -0.0038     +0.0038  |paral   |2020yCat.1350....0G
1240|GJ 1157                            |PM*|297.8633553693849 +15.9729137804803|  26|    1|   15.834   pc  |  -0.0194     +0.0194  |ST-L    |2020AJ....160...83S
1241|GJ 1158                            |PM*|299.8569927778019 +06.7475413430036|  20|    1|   13.0971  pc  |  -0.0037     +0.0037  |paral   |2020yCat.1350....0G
1242|GJ 2092                            |WD*|300.4362759353247 -03.4533235940445|  36|    1|   15.388   pc  |  -0.0036     +0.0036  |paral   |2020yCat.1350....0G
1243|GJ 3740                            |PM*|302.2061145662220 -08.7800131672202|  12|    1|   14.4717  pc  |  -0.0036     +0.0036  |paral   |2020yCat.1350....0G
1244|GJ 877                             |PM*|311.9939430302054 -39.5661163716228|  65|    1|    8.5974  pc  |  -0.0012     +0.0012  |paral   |2020yCat.1350....0G
1245|GJ 1279                            |PM*|316.6340773269155 -46.5956142380701|  69|    1|   14.8377  pc  |  -0.0043     +0.0043  |paral   |2020yCat.1350....0G
1246|GJ 2095                            |WD*|300.8443105923780 +13.0205732745311| 214|    1|   14.8355  pc  |  -0.0040     +0.0040  |paral   |2020yCat.1350....0G
1247|GJ 479                             |PM*|300.8067238586048 +10.8142748139557| 102|    1|    9.4924  pc  |  -0.0019     +0.0019  |paral   |2020yCat.1350....0G
1248|SCR J1245-5506                     |PM*|302.1292799666937 +07.7491506727200|  17|    1|   10.176   pc  |  -0.0118     +0.0118  |ST-L    |2020AJ....160...83S
1249|GJ 4102                            |PM*|311.2882362362929 -27.8350179947584|  31|    1|   12.4823  pc  |  -0.0032     +0.0032  |paral   |2020yCat.1350....0G
1250|GJ 4154                            |PM*|311.3857417788074 -30.8614169573091|  33|    1|   10.667   pc  |  -0.0066     +0.0066  |ST-L    |2020AJ....160...83S
1251|V* CD Oct                          |WD*|315.3154512716653 -37.6031264672611|  40|    1|   19.0282  pc  |  -0.0075     +0.0075  |paral   |2020yCat.1350....0G
1252|SSSPM J2231-7514                   |WD*|313.7942872622073 -38.7789121234757|  23|    1|   15.0442  pc  |  -0.0076     +0.0076  |paral   |2020yCat.1350....0G
1253|SSSPM J2231-7515                   |WD*|313.7800124587047 -38.7557800879243|  21|    1|   15.0354  pc  |  -0.0085     +0.0085  |paral   |2020yCat.1350....0G
1254|L 119-213                          |PM*|318.2538446332079 -43.9075545056190|  35|    1|   14.8782  pc  |  -0.0041     +0.0041  |paral   |2020yCat.1350....0G
1255|APMPM J2330-4737                   |PM*|335.2880724605172 -64.0965811045845|  11|    1|   13.5871  pc  |  -0.0134     +0.0134  |paral   |2020yCat.1350....0G
1256|2MASS J23312378-4718274            |BD*|335.47349710 -64.44696988          |  20|    1|   13       pc  |  -2          +2       |ST-L    |2009AJ....137....1F
1257|GJ 4004                            |PM*|312.9823746147970 -23.3251736602699|  27|    1|   12.738   pc  |  -0.0086     +0.0086  |ST-L    |2020AJ....160...83S
1258|L 43-72                            |** |314.87869558 -24.70472212          |  27|    1|    5       pc  |                       |ST-L    |2006AJ....132..866R
1259|GJ 1251                            |PM*|317.2694868330723 -31.8478073945456|  29|    1|   12.8707  pc  |  -0.0034     +0.0034  |paral   |2020yCat.1350....0G
1260|GJ 865                             |** |322.28336193 -46.44076625          |  66|    1|   13.18    pc  |  -1.01       +1.01    |ST-L    |2010MNRAS.403.1949K
1261|GJ 1277                            |PM*|325.7095659485850 -51.6752678624821|  36|    1|   10.3803  pc  |  -0.0032     +0.0032  |paral   |2020yCat.1350....0G
1262|1RXS J231318.1-493322              |PM*|336.3581650031051 -60.7178000924054|  18|    1|   40.338   pc  |  -0.0643     +0.0643  |paral   |2020yCat.1350....0G
1263|GJ 496.1                           |PM*|305.0257027685950 +10.3738509962782|  72|    1|   16.3078  pc  |  -0.0053     +0.0053  |paral   |2020yCat.1350....0G
1264|WT 887                             |PM*|326.5928443263824 -45.5185368063849|  11|    1|   13.874   pc  |  -0.0069     +0.0069  |paral   |2020yCat.1350....0G
1265|GJ 3770                            |WD*|306.6956702541882 +15.2456780246892|  34|    1|   16.7834  pc  |  -0.0221     +0.0221  |paral   |2020yCat.1350....0G
1266|GJ 637                             |PM*|318.2381592457730 -17.6228852221376|  58|    1|   15.754   pc  |  -0.0133     +0.0133  |ST-L    |2020AJ....160...83S
1267|GJ 827                             |PM*|328.1565869129867 -40.2921915113653| 395|    1|    9.2583  pc  |  -0.0090     +0.0090  |paral   |2020yCat.1350....0G
1268|GJ 842                             |PM*|332.6794639371656 -46.2174099103004|  64|    1|   11.5525  pc  |  -0.0023     +0.0023  |paral   |2020yCat.1350....0G
1269|LEHPM 4771                         |PM*|337.4167896074796 -52.8563698168359|  19|    1|   15.5382  pc  |  -0.0939     +0.0939  |paral   |2020yCat.1350....0G
1270|GJ 542                             |PM*|313.8932962462153 +01.6146204008579| 144|    1|   11.836   pc  |  -0.0080     +0.0080  |ST-L    |2020AJ....160...83S
1271|GJ 551                             |Er*|313.9398620493784 -01.9271491330428|1138|    1|    1.3019  pc  |  -5                   |paral   |2020yCat.1350....0G
1272|GJ 560 A                           |a2*|314.3348678125 -04.5917260189      | 352|    1|   16.3953  pc  |  -0.0607     +0.0607  |paral   |2020yCat.1350....0G
1273|GJ 624                             |SB*|319.5307984394129 -14.5737047174649| 191|    1|   12.067   pc  |  -0.0237     +0.0237  |paral   |2020yCat.1350....0G
1274|GJ 845 B                           |BD*|336.1206148254663 -48.1457311072368| 144|    1|    3.6947  pc  |  -0.0094     +0.0094  |paral   |2020yCat.1350....0G
1275|GJ 845                             |PM*|336.1926307305795 -48.0448608239800| 509|    1|    3.6384  pc  |  -0.0012     +0.0012  |paral   |2020yCat.1350....0G
1276|GJ 853 A                           |PM*|339.0111304960618 -51.3871891160612| 179|    1|   14.0659  pc  |  -0.0109     +0.0109  |paral   |2020yCat.1350....0G
1277|GJ 2106                            |PM*|314.0080107556546 +04.3607960716746|  31|    1|   11.6653  pc  |  -0.0024     +0.0024  |paral   |2020yCat.1350....0G
1278|GJ 774 B                           |PM*|330.5031424901038 -31.9903784390864|  19|    1|   12.838   pc  |  -0.0127     +0.0127  |ST-L    |2020AJ....160...83S
1279|GJ 774 A                           |PM*|330.5017218585736 -31.9951129359640|  25|    1|   12.8545  pc  |  -0.0065     +0.0065  |paral   |2020yCat.1350....0G
1280|GJ 780                             |PM*|329.7673520576934 -32.4164645155008| 371|    1|    6.0992  pc  |  -0.0045     +0.0045  |paral   |2020yCat.1350....0G
1281|GJ 841 A                           |Er*|344.7621139658185 -49.5554654037086|  83|    1|   14.8645  pc  |  -0.0045     +0.0045  |paral   |2020yCat.1350....0G
1282|GJ 841 B                           |WD*|344.7621825156800 -49.5475690418368|  68|    1|   14.8583  pc  |  -0.0043     +0.0043  |paral   |2020yCat.1350....0G
1283|GJ 9780                            |PM*|346.8901744590550 -54.8352531012741|  25|    1|   14.9893  pc  |  -0.0067     +0.0067  |paral   |2020yCat.1350....0G
1284|GJ 601 A                           |PM*|321.8451628403 -07.5236626383      | 156|    1|   12.4246  pc  |  -0.0337     +0.0337  |paral   |2020yCat.1350....0G
1285|2MASS J22282889-4310262            |BD*|354.41581565 -57.01527863          |  60|    1|   11.4     pc  |                       |ST-L    |2012ApJ...753..156K
1286|HD 167425                          |PM*|330.7301158638131 -20.8125595252620|  57|    1|   23.479   pc  |  -0.0151     +0.0151  |paral   |2020yCat.1350....0G
1287|SCR J1845-6357                     |LM*|331.5190445097474 -23.5084144929465|  63|    1|    4.0053  pc  |  -0.0021     +0.0021  |paral   |2020yCat.1350....0G
1288|SCR J1845-6357B                    |BD?|331.51950 -23.50873                |  32|    1|    3.9     pc  |                       |plx     |2012ApJ...753..156K
1289|GJ 833                             |PM*|346.4153519855339 -46.4331502566775|  85|    1|   14.8148  pc  |  -0.0038     +0.0038  |paral   |2020yCat.1350....0G
1290|GJ 832                             |PM*|349.1730755262543 -46.3496134710410| 245|    1|    4.9670  pc  |  -0.0005     +0.0005  |paral   |2020yCat.1350....0G
1291|GJ 838                             |PM*|350.8781148641686 -49.1060977353273| 309|    1|   15.5589  pc  |  -0.0104     +0.0104  |paral   |2020yCat.1350....0G
1292|WT 870                             |PM*|353.2766844593397 -52.7584874317398|  13|    1|   17.6801  pc  |  -0.0431     +0.0431  |paral   |2020yCat.1350....0G
1293|GJ 613.0                           |PM*|327.8623895422758 -03.4952359588498| 130|    1|   14.829   pc  |  -0.0146     +0.0146  |ST-L    |2020AJ....160...83S
1294|GJ 615                             |PM*|327.4979158239909 -04.6973653827350| 157|    1|   13.5965  pc  |  -0.0034     +0.0034  |paral   |2020yCat.1350....0G
1295|GJ 656                             |PM*|329.8190844592384 -12.2209654413586| 121|    1|   13.7261  pc  |  -0.0041     +0.0041  |paral   |2020yCat.1350....0G
1296|GJ 798                             |PM*|345.7265800722339 -37.8488127975313|  82|    1|   12.3414  pc  |  -0.0034     +0.0034  |paral   |2020yCat.1350....0G
1297|WT 460                             |** |318.7344041751875 +18.8470971693790|  13|    1|    9.1130  pc  |  -0.0192     +0.0192  |paral   |2020yCat.1350....0G
1298|GJ 693                             |PM*|335.3044384081600 -14.4532507617912|  83|    1|    5.8891  pc  |  -0.0016     +0.0016  |paral   |2020yCat.1350....0G
1299|GJ 714                             |PM*|336.8320837734166 -20.1538387953306|  23|    1|   14.3759  pc  |  -0.0039     +0.0039  |paral   |2020yCat.1350....0G
1300|GJ 4078                            |PM*|338.5213363563639 -22.3977774511003|  18|    1|   12.5919  pc  |  -0.0045     +0.0045  |paral   |2020yCat.1350....0G
1301|HD 175224                          |** |340.34265658 -23.02783782          |  32|    1|   12.29    pc  |  -0.29       +0.29    |ST-L    |2010MNRAS.403.1949K
1302|GJ 737 A                           |PM*|340.3426410158970 -23.0278316790781|  14|    1|   12.344   pc  |  -0.0042     +0.0042  |paral   |2020yCat.1350....0G
1303|GJ 737 B                           |PM*|340.3433989363128 -23.0274063120836|  15|    1|   12.3426  pc  |  -0.0042     +0.0042  |paral   |2020yCat.1350....0G
1304|SIPS J1936-5502                    |BD*|342.5583732506808 -28.1843307295655|  14|    1|   23.1902  pc  |  -0.2172     +0.2172  |paral   |2020yCat.1350....0G
1305|WT 766                             |PM*|350.0537031599585 -41.0750837293154|  16|    1|   13.4309  pc  |  -0.1373     +0.1373  |paral   |2020yCat.1350....0G
1306|WT 795                             |PM*|356.2864879383635 -47.6302716318293|  11|    1|   14.186   pc  |  -0.0067     +0.0067  |paral   |2020yCat.1350....0G
1307|GJ 582                             |PM*|327.0772461646624 +07.3782007675529| 260|    1|   14.7391  pc  |  -0.0130     +0.0130  |paral   |2020yCat.1350....0G
1308|L 273-106                          |PM*|341.1412580145657 -20.6732155602182|  16|    1|   10.2396  pc  |  -0.0031     +0.0031  |paral   |2020yCat.1350....0G
1309|GJ 9724                            |PM*|357.3321138972687 -43.2368812388214|  48|    1|   15.775   pc  |  -0.0158     +0.0158  |ST-L    |2020AJ....160...83S
1310|GJ 4198                            |Er*|001.2653537411608 -46.8527297897724|  26|    1|   12.1814  pc  |  -0.0041     +0.0041  |paral   |2020yCat.1350....0G
1311|CD-43 9546                         |SB*|326.4372881413646 +13.2083019467910|  23|    1|   14.134   pc  |  -0.0068     +0.0068  |paral   |2020yCat.1350....0G
1312|CD-52 7989                         |PM*|336.7035817678267 -07.5836792033438|  23|    1|   12.778   pc  |  -0.0032     +0.0032  |paral   |2020yCat.1350....0G
1313|GJ 676 A                           |PM*|339.1040009780797 -09.5427758269372|  94|    1|   15.9799  pc  |  -0.0077     +0.0077  |paral   |2020yCat.1350....0G
1314|GJ 676 B                           |PM*|339.1087728796460 -09.5551931685420|  22|    1|   15.9802  pc  |  -0.0057     +0.0057  |paral   |2020yCat.1350....0G
1315|GJ 691                             |PM*|340.0607013690972 -11.4981463129174| 498|    1|   15.604   pc  |  -0.0220     +0.0220  |paral   |2020yCat.1350....0G
1316|APMPM J2101-4125                   |PM*|000.5254196743042 -41.2425286182076|  11|    1|   18.7731  pc  |  -0.0115     +0.0115  |paral   |2020yCat.1350....0G
1317|GJ 825                             |Er*|003.9042411318103 -44.2565657445186| 212|    1|    3.9696  pc  |  -0.0005     +0.0005  |paral   |2020yCat.1350....0G
1318|GJ 680                             |PM*|342.0770635442066 -08.6641967595733|  61|    1|    9.6797  pc  |  -0.0020     +0.0020  |paral   |2020yCat.1350....0G
1319|2MASS J18283572-4849046            |BD*|346.05019073 -16.55119461          |  23|    1|   11       pc  |  -1          +1       |ST-L    |2009AJ....137....1F
1320|GJ 739                             |PM*|348.4153033441090 -21.1113791903346|  52|    1|   14.1653  pc  |  -0.0052     +0.0052  |paral   |2020yCat.1350....0G
1321|GJ 784                             |PM*|354.8067080267926 -32.9747443058672| 154|    1|    6.1645  pc  |  -0.0008     +0.0008  |paral   |2020yCat.1350....0G
1322|GJ 588                             |PM*|332.6748615539302 +12.1291173660372| 126|    1|    5.9172  pc  |  -0.0009     +0.0009  |paral   |2020yCat.1350....0G
1323|GJ 604                             |PM*|335.5951821033675 +08.1341486688667|  92|    1|   14.7398  pc  |  -0.0053     +0.0053  |paral   |2020yCat.1350....0G
1324|GJ 634                             |PM*|340.3124493222090 +01.5647207946999|  38|    1|   15.759   pc  |  -0.0046     +0.0046  |paral   |2020yCat.1350....0G
